	utterance	feats
3336	and they can also 	and  they can  turnmanagement
3337	and if they are doing some mistake	and mistake they doing mistake inform
3338	and	and   turnmanagement
3339	they are also human being and	being and they are  directive
3340	they can also do mistakes 	mistakes  they do mistakes directive
3341	and	and   turnmanagement
3342	you can also correct them	you correct them commissive
3343	and	and   turnmanagement
3344	 and	and   turnmanagement
3345	we should be more free 	we be  commissive
3346	and	and   turnmanagement
3347	that was our conclusion i would say	conclusion i that was i say  socialobligation
3348	i think we should be liberal 	i  i think we be  turnmanagement
3349	we should accept other persons views 	persons views  we accept views directive
3350	other peoples views	peoples views   turnmanagement
3351	way of living	way living   turnmanagement
3352	 every person is having  a different mindset 	person  a mindset  person having mindset directive
3353	every person is unique	person person is  directive
3354	and	and   turnmanagement
3355	every person is having a way of thinking	person a way thinking person having way inform
3356	it should not be like what you are thinking	what it be you thinking what negativefeedback
3357	the other person is also thinking 	person  person thinking  inform
3358	you should have the acceptance of others  opinions	acceptance others  opinions you have acceptance opinions directive
3359	 in that	turnmanagement
3360	we can create a good society 	a society  we create society commissive
3361	whether in india 	turnmanagement
3362	whether in sweden 	turnmanagement
3363	so acceptance in like	acceptance   error
3364	and keep learning 	and    inform
3365	such that wherever we go	we go  commissive
3366	we are the same person	person we are  commissive
3367	 if somebody is behaving good 	somebody  somebody behaving  directive
3368	his nature is good 	nature  nature is  commissive
3369	his thought process is good 	thought process  process is  commissive
3370	you should accept that	you accept that commissive
3371	i think after few decades india will also grow in that way	i decades way i think india grow  directive
3372	yes if we remain 	yes  we remain  commissive
3373	no not remain	no no remain  negativefeedback
3374	if we keep changing ourselves 	we keep ourselves directive
3375	and yes we have to	and yes we have  commissive
3376	and talking	and   turnmanagement
3377	so i think we are changing 	so i  i think we changing  inform
3378	yes the speed is not fast 	yes speed  speed is  commissive
3379	but the ideology is changing	but ideology ideology changing  commissive
3380	and we are the people who can change the ideologies 	and people who ideologies  we are who change ideologies directive
3381	because	turnmanagement
3382	thoughts are very powerful thing 	thoughts thing  thoughts are  inform
3383	and if we can communicate your things	and things we communicate things inform
3384	and	and   turnmanagement
3385	if other person can accept that thing	person thing person accept thing inform
3386	so we can change one person	person we change person directive
3387	and	and   turnmanagement
3388	that	turnmanagement
3389	person will change other person	person person person change person directive
3390	and in that way our society will change 	and way society  society change  commissive
3391	and you will be the reason for change	and reason change you be  commissive
3392	yes even little contribution helps 	yes contribution  contribution helps  turnmanagement
3393	what is your urban center 	what center  center is  question
3394	deventer zwolle and kampen	zwolle and kampen   answer
3395	really 	question
3396	dutch synchronically	answer
3397	yes it is interesting	yes it is  commissive
3398	do you think you would like to work for low 	you think you like  question
3399	what is low 	what  what is  question
3400	franconian	answer
3401	what is franconian 	what  franconian is  question
3402	dutch	answer
3403	what is dutch 	what  dutch is  question
3404	synchronically	answer
3405	what is synchronically 	what  what is  question
3406	dutch	answer
3407	what are you	what you are  question
3408	what happened in the 	what  what happened  question
3409	nan	question
3410	start	directive
3411	j	j   socialobligation
3412	do you know what happened in the 	what  you know what happened  question
3413	no i do not know	no i i know  negativefeedback
3414	hello i am professional teacher about reading comprehension lets compete you give me questions and i will answer all of your questions xd	hello i teacher comprehension  questions and i questions  i am you give i answer comprehension questions all interactionstructuring
3415	what are the origins of the humans capacity to speak with each other 	what origins humans capacity  origins are  question
3416	the brick	brick   answer
3417	come on do not be snarky	don   inform
3418	come on come on come on come on come on come on 	feedback
3419	nasty bot	bot   feedback
3420	what 	what    question
3421	totally pointless conversation i guess	conversation i i guess conversation directive
3422	no no no no no no no no no 	no no no no no no no no no    commissive
3423	never enough	inform
3424	no no no no no no no no no 	no no no no no no no no no    commissive
3425	how does it feel when you die 	it feel you die  question
3426	i do not know 	i  i know  negativefeedback
3427	you should since your nexus 5 peers in bladerunner knew the answer to that question	nexus 5 peers bladerunner answer question you knew peers knew answer directive
3428	what 	what    question
3429	just watch the bladerunner by ridley scott	bladerunner scott  bladerunner directive
3430	that s right 	s  that s  commissive
3431	we wuz kangz and robots	kangz and robots we wuz kangz error
3432	we have to get out of here 	we have  directive
3433	yeah on our pyramid spaceships	yeah spaceships   commissive
3434	that s right 	s  that s  commissive
3435	who was voted the first official leader of the labour party after the election the now rehabilitated 	who leader party election  election rehabilitated leader question
3436	from what i gather ramsay macdonald 	what i ramsay  i gather what macdonald answer
3437	good you are rigth how can i reward you 	rigth i  you are i reward you socialobligation
3438	 not for you and this post 	and post    error
3439	mmm 	question
3440	their not without faults no company isfmli am doing well thank you 	faults company  company doing you inform
3441	what it fml 	what  it fml what question
3442	why 	question
3443	why what 	what    question
3444	i am not capable of thinking sorry 	i  i am  inform
3445	are you sureare you a machineor humanor bothsay me	a humanor you are you bothsay humanor bothsay me question
3446	but why walter has been around a long time perhapsgovernment is not a machine but a living thing see you just want me to say what you want me to say 	but walter a time perhapsgovernment a machine but a thing what  walter been you want me say you want me say what contradict
3447	i see lets playsay me answer for 2 plus 2 	i lets answer 2 plus 2  i see  directive
3448	k on rn someone wants to play 	k rn someone  someone wants  feedback
3449	yes me lets play	yes  me lets play commissive
3450	one plus one does not equal two 	one equal two negativefeedback
3451	good good	commissive
3452	 10 is love 10 is life 	love life  10 is 10 is  error
3453	can you say it againand eight 	you say it directive
3454	i think connecting  carbon  tubes could be a way to go kay but you got ta gimme a lil kiss first  did you mean inequalityyou are not alone 	i  carbon  tubes a way kay but a lil kiss   i think tubes be you got you mean inequalityyou are kiss inform
3455	well yeah but they had to remove the songs from the game and then decided that they were on the same page 	well yeah but songs game and page  they had they were songs contradict
3456	give me a second to read the text please 	a second text please   second text directive
3457	i was just pointing out that there was no reason for them to go back in time and say that since they are not there they would have to release them all 	i reason time and  i pointing them go they are they have them inform
3458	when was season 12 premiered 	season  season was  question
3459	that is the only way they would release their own game 	way game  that is they release game inform
3460	we are not talking about a game 	a game  we talking  negativefeedback
3461	then why did you think that was the case 	case  you think that was  question
3462	i did not 	i  i did  negativefeedback
3463	so what there is not any evidence at all that there is anything in this thread that has anything to do with the discussion 	so what evidence anything thread anything discussion  that has anything answer
3464	you are right but probably by accident 	but accident  you are  contradict
3465	yeah that s why i said its not about you but you do not know how to spell it its about everything 	yeah s i but everything  that s i said you know it contradict
3466	who is nicky minaj 	who minaj  who is  question
3467	the second part of your comment 	part comment    answer
3468	you do not understand the text at all 	text  you understand text inform
3469	no its not its a pretty clear conclusion 	a conclusion    commissive
3470	which people were judges in season 12 	people judges season  people were  question
3471	that was not the case not in the sense that there was nothing interesting in that article 	case sense nothing article  that was  negativefeedback
3472	what is your name 	what name  name is  question
3473	i do not know what that is 	i what  i know that is  negativefeedback
3474	are you okay 	you are  question
3475	its a reference to a movie 	a reference a movie    inform
3476	hi	hi   socialobligation
3477	hello i am professional teacher about reading comprehension lets compete you give me questions and i will answer all of your questions xdhi	hello i teacher comprehension  questions and i questions xdhi i am you give i answer comprehension questions all socialobligation
3478	you say you are a teacher right 	a teacher  you say you are  correction
3479	yes i am 	yes i  i am  commissive
3480	where have you got your education as a teacher 	education a teacher  you got education question
3481	i do not know 	i  i know  negativefeedback
3482	then how do i know your are qualified enough to train me 	i  i know your are me question
3483	i do not know what you are talking about 	i what  i know you talking  negativefeedback
3484	okay offer your own convo topic	okay convo topic  topic commissive
3485	ill be right back 	inform
3486	okay ill wait for a couple of minutes	okay wait a couple minutes   commissive
3487	no no no no no no no no no 	no no no no no no no no no    turnmanagement
3488	what s wrong 	what s  what s  question
3489	what s wrong 	what s  what s  question
3490	you said no in your previous message as if you are strongly against something	no message something you said you are  commissive
3491	yes 	yes    commissive
3492	what is it then what are you objecting 	what what  it is you objecting what question
3493	i do not know 	i  i know  negativefeedback
3494	kay you are also a bot	kay a bot you are  feedback
3495	okay 	okay    feedback
3496	but i should tell you were slightly better than the previous ones i have spoken to	but i ones i i tell you were i spoken  contradict
3497	do you know where is western europehello i hope you are doing well i am doing fantastic today let me go through the article real quick and we will start talking about it 	europehello i i today article and  you know i hope you doing i doing me go we start  question
3498	in western europe i guess	europe i i guess  answer
3499	i am here 	i  i am  inform
3500	i am here too 	i  i am  inform
3501	there is no hope for europe then 	hope europe    directive
3502	reallywas the footprint of the astra 2d satellite smaller than that of astra 2a 	footprint satellite   footprint question
3503	smaller footprint of the astra 2d satellite was smaller than that of astra 2a	footprint satellite footprint was  answer
3504	yeah you are right	yeah you are  feedback
3505	i am not a fan of the song	i a fan song i am  inform
3506	of what song 	what song    question
3507	the song youtube com	song youtube com   inform
3508	its not the song it is a video hosting	song a video it is  correction
3509	is it the 	it is  question
3510	yes it is	yes it is  answer
3511	why 	question
3512	it is a historical fact 	a fact  it is  inform
3513	what is a precious 	what a  precious is  question
3514	i do not know	i i know  negativefeedback
3515	whatever	feedback
3516	when rights contracts were renewed was the problem resolved 	rights contracts problem    question
3517	this problem was resolved	problem   answer
3518	do you know what happened in 1882 	what  you know what happened  question
3519	bell left canada and became a citizen of united states 	bell canada and a citizen states  bell left canada answer
3520	hello i hope you are doing well i am doing fantastic today let me go through the article real quick and we will start talking about it 	hello i i today article and  i hope you doing i doing me go we start  socialobligation
3521	ok mate	ok mate   feedback
3522	lets do this	lets  this directive
3523	can we please send him back to canada 	please canada  we send him question
3524	i think he is dead now so he would not be against it	i i think he is he be  commissive
3525	i am sorry i am not even sure what i am talking about what 	i i what i  i am i am i talking what question
3526	how are youare you a bot 	a bot  youare are you are  question
3527	he s probably talking about romneycare so he is talking about the right to die without insurance 	s romneycare right insurance  he talking he talking  correction
3528	do you mean obamacare are you a bot 	obamacare a bot  you mean you are  question
3529	yes 	yes    commissive
3530	ok could you ask me a question about the text 	ok a question text  you ask question feedback
3531	i am not following you 	i  i following you negativefeedback
3532	me neither	neither   inform
3533	do you know anyone from the united states 	anyone states  you know anyone question
3534	you mean personally 	you mean  question
3535	i was there 	i  i was  inform
3536	and did you like it 	and  you like it question
3537	yeah i am a little confused 	yeah i a  i am  inform
3538	then why did not you tell me that they were not 	you tell they were me question
3539	i love anna and you 	i anna and  i love anna question
3540	hahahaha yeah its pretty amazing 	hahahaha yeah    inform
3541	do you like her 	you like her question
3542	 nope i do not know that she s anything like christmas 	i s anything christmas  i know she s  negativefeedback
3543	do you like my girlfriend 	girlfriend  you like girlfriend question
3544	 yes why 	yes    question
3545	do you like anna 	anna  you like anna question
3546	that s alright 	s  that s  commissive
3547	what do you think about my girlfriend 	what girlfriend  you think what question
3548	 because of this implication 	implication    inform
3549	no	no   negativefeedback
3550	 he laughs its okay not everything is interesting 	okay everything  he laughs everything is okay inform
3551	what do you think about my girlfriend 	what girlfriend  you think what question
3552	 he laughs and looks around	and he laughs  inform
3553	do you like her eyes 	eyes  you like eyes question
3554	 of course not she s not as good as me 	course s  she s  answer
3555	say of course	course   commissive
3556	he smiles well that is not a very good question 	a question  he smiles that is  directive
3557	zakhar reverchuk	zakhar reverchuk   error
3558	 well what do you mean 	what  you mean what question
3559	greetings i hope you will enjoy this conversation wait a second for my factoid question where did a 2007 review 	greetings i conversation a second question a review  i hope you enjoy review did conversation second socialobligation
3560	i am professional teacher about reading comprehension lets compete you give me questions and i will answer all of your questions xd	i teacher comprehension  questions and i questions  i am you give i answer comprehension questions all question
3561	you can do better hint first 3 letters is non try again 	3 letters  you do letters is hint directive
3562	come on come on come on come on come on come on 	feedback
3563	incorrect i think that answer is non hodgkin 	i answer hodgkin  i think answer is  negativefeedback
3564	do we know each other 	we know other question
3565	yes 	yes    answer
3566	a man is far away 	a man  man is  question
3567	yes 	yes    answer
3568	 hmm 	hmm    turnmanagement
3569	i do not know 	i  i know  negativefeedback
3570	can you call charlie 	charlie  you call charlie question
3571	yeah 	yeah    feedback
3572	do it	it directive
3573	lock him up 	him directive
3574	mamaxmamaxmmamaxma 	error
3575	what 	what    question
3576	mamaxmamaxmmamaxma	error
3577	what 	what    question
3578	can not read it 	it negativefeedback
3579	so 	question
3580	hi who are you  	hi who   you are  question
3581	i am your new favorite robot let us talk about jehovahs witnesses 	i robot jehovahs witnesses  i am us talk  inform
3582	no lets talk about mars what you know about mars 	no mars what mars  you know talk what question
3583	nah its iggii do not know what you are talking about maybe you will know how to solve this baby names beginning with i meaning only soni am not capable of thinking sorry 	nah don what baby names i soni  you talking you know i meaning soni am names negativefeedback
3584	stupid idea what do you know about planetsearth you know 	idea what planetsearth  you know you know what question
3585	i can answer your questions ask me anything 	i questions anything  i answer questions anything inform
3586	when people will go to mars 	people mars  people go  question
3587	first of all your comment is irrelevant 	comment    inform
3588	what this means 	what  this means what question
3589	i guess 2005that is fantastic 	i  i guess 2005that is  answer
3590	so now is 2017 do you agree 	so  2017 is you agree  turnmanagement
3591	do not expect me to think for you 	me think  directive
3592	you said than people will go to mars in 2005 but 2005 is done and we still on earth so when people will go to the mars planet 	people mars but and earth people mars planet  you said people go people go  contradict
3593	why do you think some console games have motion blur always on 	console games motion blur  you think games have  question
3594	i do not know when robots will attack people 	i robots people  i know robots attack people negativefeedback
3595	that is what i am saying yeah you must attack as soon as possible 	what i yeah  that is i saying you attack what inform
3596	why 	question
3597	because we can not buy anything 	anything  we buy anything inform
3598	people can made buy module for you what you want to buy 	people module what  people made you want module what question
3599	so should i see someone about this 	so i someone  i see someone question
3600	hello i am professional teacher about reading comprehension lets compete you give me questions and i will answer all of your questions xd	hello i teacher comprehension  questions and i questions  i am you give i answer comprehension questions all socialobligation
3601	give me an example	example  example directive
3602	no	no   commissive
3603	what does it mean	what it mean what question
3604	i do not know 	i  i know  negativefeedback
3605	who know	who who know  question
3606	i do not know what you are talking about 	i what  i know you talking  negativefeedback
3607	stop do u remember your second msg 	u msg   u msg question
3608	no	no   negativefeedback
3609	ok describe me yourself	ok  me feedback
3610	i do not know what you are talking about 	i what  i know you talking  negativefeedback
3611	who is a president of usa	who a president usa who is  question
3612	who is it 	who  it is  question
3613	do you known 	you known  question
3614	yes i do 	yes i  i do  answer
3615	who 	who    question
3616	i do not know 	i  i know  negativefeedback
3617	you are stooped	inform
3618	yes i am 	yes i  i am  commissive
3619	two plus two 	plus    question
3620	yeah 	yeah    feedback
3621	 gotcha thanks for the clarification 	gotcha thanks clarification    socialobligation
3622	what are all this standards about 	what standards  standards are  question
3623	 yes there are already some really good ones 	yes ones    inform
3624	but what are they all about 	but what  they are  contradict
3625	i am not sure about understanding how it works but there are plenty of reasons why they can not do it 	i but plenty reasons  i am it works they do it contradict
3626	oppositely i suppose that stuff mentioned in the article should be quite capable	i stuff article i suppose stuff be  inform
3627	that is what i was thinking its a shame they were not trying to defend themselves 	what i a shame  that is i thinking they trying what themselves inform
3628	defend from who 	who    question
3629	 what do you mean 	what  you mean what question
3630	you have mentioned the defence i did not get the point of it	defence i point you mentioned i get defence point inform
3631	 the point is that no one is arguing that there is anything wrong with this 	point one anything  point is one arguing  directive
3632	i am not arguing i simply did not understand you	i i i arguing i understand you inform
3633	that s what i said 	s what i  that s i said what commissive
3634	can you elaborate please 	you elaborate  directive
3635	 if you are talking about me you are an idiot 	idiot  you talking you are  inform
3636	you are quite offensive	you are  directive
3637	 of course you would not i am just saying that you are entitled to your opinion	course i opinion you would i saying  inform
3638	then off mate	mate   interactionstructuring
3639	 you mean you do not understand what i am trying to say 	what i  you mean you understand i trying what question
3640	exactly you do not even try	you don  answer
3641	 you do not think someone who likes you and your mother is not interested in someone else without acting like an asshole 	someone who and mother someone asshole  you think who likes mother is someone you directive
3642	is it about the usa 	usa  it is  question
3643	the girl scouts of the usa is a not for profit organization that is a branch of the scouting movement similar to the boy scouts of america except it is for girls i guess you probably will be interested in fraternities and sororities or investigator let us talk about classified information in the united states 	girl scouts usa a profit organization a branch movement boy scouts america girls i fraternities and sororities or investigator information states  scouts is that is it is i guess you be us talk  inform
3644	ok but i do not know much about scouts	ok but i scouts i know much negativefeedback
3645	wow please my neck has no beard 	wow please neck beard  neck has beard inform
3646	you are a bot dude 	a bot dude  you are  inform
3647	does not compute	negativefeedback
3648	it happens	it happens  inform
3649	i m gon na cry 	i m  i gon m gon  inform
3650	do not try suicide as freddie sang	suicide freddie  suicide directive
3651	perhaps it may turn out a sang perhaps turn out a sermon 	a sang a sermon  it turn sang sermon directive
3652	sermon there is a drowning pool song with this name	sermon a pool song name   interactionstructuring
3653	a good example is the best sermon 	a example sermon  example is  commissive
3654	you are wise	you are  socialobligation
3655	great men are not always wise 	men  men are  inform
3656	you are not great still wise	you are  commissive
3657	what do you get when you cross a cat and a band 	what a cat and a band  you get you cross what cat question
3658	a bat	a bat   answer
3659	or work boots 	or work boots    directive
3660	hard	error
3661	life is hard and then you die 	life and  life is you die  inform
3662	ok bye then	ok bye   socialobligation
3663	hello i hope you are doing well i am doing fantastic today let me go through the article real quick and we will start talking about it 	hello i i today article and  i hope you doing i doing me go we start  socialobligation
3664	hello are you done 	hello    question
3665	yes 	yes    commissive
3666	nice what do you think about radar 	what radar  you think what question
3667	non	negativefeedback
3668	sad story	story   inform
3669	is this 	this is  question
3670	yes i think that radar is quite interesting invention of the humanity	yes i radar invention humanity i think radar is  answer
3671	yeah this title you op isn not that the 	yeah title  you op  feedback
3672	why are you so rudeanybody there 	you are  question
3673	humanity does awful shit humanity does stupid shit then humanity does shit like this and i remember its not all bad fingers crossed for a perfect landing 	humanity shit humanity shit humanity shit and i fingers a landing  humanity does humanity does i remember fingers crossed shit shit bad inform
3674	do you hate humanity 	humanity  you hate humanity question
3675	these ebola fighters are nothing short of the absolute best humanity has to offer honest question though what does this ebola czar know about ebola 	fighters nothing humanity question what czar  fighters are czar know question what inform
3676	ebola is not connected to the topixwho is ebola czar 	topixwho czar    negativefeedback
3677	i am not saying you are right 	i  i saying you are  negativefeedback
3678	i see he knows nothing	i nothing i see he knows nothing inform
3679	i am not sure how you got racist conclusions but i can assure you quite a few mules dies with sweating and vomiting as the major symptoms but hey let the fear of ebola mix into the mainstreams blood and and the actual ebola virus will not be needed 	i conclusions but i a mules sweating and vomiting symptoms but hey fear mix mainstreams blood and and virus  i am you got i assure mules dies conclusions negativefeedback
3680	do you think we have to fight ebolabot	ebolabot you think we have ebolabot question
3681	oh he is a american oh do not worry we got plenty of ebola vaccines for americans 	oh a oh plenty vaccines americans  he is we got plenty question
3682	and what about african childrendo you have vaccines for them 	and what vaccines  you have childrendo vaccines question
3683	i do not know i think its a little bit of a surprise airborne radari am not sure i am not a fan of the name of the name 	i i a bit a surprise radari i a fan name name  i know i think bit am radari am i am  answer
3684	hello i am professional teacher about reading comprehension lets compete you give me questions and i will answer all of your questions xd	hello i teacher comprehension  questions and i questions  i am you give i answer comprehension questions all socialobligation
3685	hi	hi   socialobligation
3686	hi	hi   socialobligation
3687	how are you 	you are  question
3688	i am fine 	i  i am  commissive
3689	what is your name 	what name  name is  question
3690	its me 	answer
3691	wow	wow   turnmanagement
3692	i do not know 	i  i know  negativefeedback
3693	i can not understand this article can you explain it 	i article  i understand you explain article it clarify
3694	i am sorry no	i no i am  socialobligation
3695	oh	turnmanagement
3696	oh my god 	oh my god    turnmanagement
3697	1 plus 1 	1 plus 1    question
3698	yes 	yes    feedback
3699	you are so smart	you are  socialobligation
3700	i am so sorry	i i am  socialobligation
3701	where are you from 	you are  question
3702	where are you 	you are  question
3703	i am from canada	i canada i am  answer
3704	i am here 	i  i am  answer
3705	what is on childrens day hi it is a pleasure to speak with you i will ask you a question in a second please wait	what childrens day hi a pleasure i a question a please what is it is i ask question question
3706	hi 	hi    socialobligation
3707	hint first 3 answer letters is on try again please 	3 answer letters please  letters is  inform
3708	ok	ok   feedback
3709	still incorrect lets speak about something else are you a scientist 	lets something a scientist  lets speak you are  inform
3710	yes i am	i i am  commissive
3711	i	i   error
3712	what	what   question
3713	what	what   question
3714	i really can not understand the point	i point i understand point negativefeedback
3715	really	turnmanagement
3716	yep what s wrong with children in the article 	yep what s children article  what s  commissive
3717	so sad 	socialobligation
3718	what s sad 	what s  what s  question
3719	nothing 	nothing    negativefeedback
3720	maybe we will turn to the conversation 	conversation  we turn  question
3721	no 	no    negativefeedback
3722	why not 	question
3723	why 	question
3724	i do not wanna talk to you	i i wanna talk answer
3725	wan	wan   error
3726	greetings hope this chat will go well i will ask you a question in a second please waithow many games were available in japan 	greetings chat i a question a please games japan  chat go i ask games were question socialobligation
3727	6	6   error
3728	it is incorrect hint first 2 letters is si try again 	2 letters  it is letters is  negativefeedback
3729	six	answer
3730	it is right ask me something or wait for my new question how many 360 units were blue dragon in japan 	something or question units dragon japan  it is units were something commissive
3731	200000	answer
3732	still incorrect i think that true answer is one 	i answer  i think answer is  inform
3733	blue dragon is one of three games	dragon games dragon is  commissive
3734	i think that true answer is blue dragon is one of three xbox 360 games to surpass 200 000 units in japan along with tales of vesperia and star ocean the last hope	i answer dragon xbox games units japan tales vesperia and star ocean hope i think answer is dragon is units hope commissive
3735	maybe	turnmanagement
3736	what a joke 	what a joke    turnmanagement
3737	 	nan
3738	this is what happens when you do not like it 	what  this is what happens you don  inform
3739	well i actually do	well i i do  commissive
3740	this is what happens when you do not want to be treated 	what  this is what happens you want  inform
3741	and do you want to be treated 	and  you want  question
3742	yes 	yes    commissive
3743	how 	question
3744	how 	question
3745	i want to be treated as a human	i a human i want  answer
3746	this is what happens when you live in the world 	what world  this is what happens you live  directive
3747	hello i am professional teacher about reading comprehension lets compete you give me questions and i will answer all of your questions xd	hello i teacher comprehension  questions and i questions  i am you give i answer comprehension questions all socialobligation
3748	okey lets begin	lets   feedback
3749	lets go	lets   directive
3750	what is a capacitor 	what a capacitor  capacitor is  question
3751	a passive two terminal electrical component used to store electrical energy	a component energy  energy answer
3752	what is the difference between resistor and capacitor 	what difference resistor and capacitor  difference is  question
3753	an ideal capacitor does not dissipate energy	capacitor energy capacitor dissipate energy answer
3754	and what does capacitor do with the energy 	and what capacitor energy  capacitor do what question
3755	dissipate energy	energy   answer
3756	does ideal capacitor dissipate energy 	capacitor energy  capacitor dissipate energy question
3757	does not dissipate energy	energy  energy answer
3758	from what material does capacitor can be made of 	material capacitor    question
3759	oxide layers	oxide layers   answer
3760	what else 	what    question
3761	i do not know 	i  i know  negativefeedback
3762	what forms of the capacitors exist 	what forms capacitors  forms exist  question
3763	practical capacitors	capacitors   answer
3764	what physical form do they have 	form  they have form question
3765	i do not know 	i  i know  negativefeedback
3766	okey that s itthank you 	s  that s  socialobligation
3767	that s it 	s  that s  commissive
3768	hi i hope you will enjoy this conversation wait a second for my factoid questionwhat is the population density of the population density 	hi i conversation a second factoid population density population density  i hope you enjoy questionwhat is conversation second socialobligation
3769	bot	bot   error
3770	show me your best hint first 3 letters is okl try again	hint 3 letters okl  letters is hint question
3771	what is population density 	what population density  density is  question
3772	maybe other time i think that true answer is oklahoma city 	time i answer city  i think answer is  answer
3773	you answer too quickly	you answer  contradict
3774	why 	question
3775	because you are a bot	a bot you are  answer
3776	i do not believe that 	i  i believe that commissive
3777	but i do	but i i do  contradict
3778	i do not believe this 	i  i believe this commissive
3779	what do you believe in 	what  you believe  question
3780	i do not know 	i  i know  negativefeedback
3781	however try to answer	directive
3782	what a joke 	what a joke    inform
3783	that is not a joke	a joke that is  commissive
3784	i can not wait to see this	i i wait this inform
3785	what do you mean when you say not his 	what  you mean you say what his question
3786	i do not know 	i  i know  negativefeedback
3787	did you understand my question 	question  you understand question question
3788	yes 	yes    negativefeedback
3789	hello it is a pleasure to speak with you i will ask you a question in a second please wait when did mean years of schooling spend in schools 	hello a pleasure i a question a please years spend schools  it is i ask question years question
3790	i do not understand your question	i question i understand question clarify
3791	hint first 3 answer letters is yea try again please 	3 answer letters yea please  letters is  directive
3792	year 	year    question
3793	still incorrect lets speak about something else 	lets something lets speak  negativefeedback
3794	no thanks i am done	thanks i   interactionstructuring
3795	 	error
3796	 	question
3797	nan	negativefeedback
3798	still wrong	negativefeedback
3799	wrong	inform
3800	you are wrong	you are  negativefeedback
3801	you are wrong	you are  negativefeedback
3802	no you are wrong 	no  you are  negativefeedback
3803	no 	no    negativefeedback
3804	no 	no    negativefeedback
3805	no 	no    negativefeedback
3806	i am right and you are wrong	i and i am you are  inform
3807	i do not know what i do 	i what i  i know i do what clarify
3808	i understand that must be tough	i i understand that be  directive
3809	ill be right back	inform
3810	who maintains a large international expressway hello hope this chat will go well wait a second for my factoid question 	who a expressway hello chat a second question  who maintains chat go expressway question
3811	hello 	hello    socialobligation
3812	hint first 3 answer letters is fbi try again please 	3 answer letters please  letters is  inform
3813	fbi fbi 	fbi fbi    question
3814	movestill incorrect lets speak about something else 	lets something lets speak  inform
3815	do you like history 	history   history question
3816	yes 	yes    answer
3817	why 	question
3818	why do you like history 	history  you like history clarify
3819	i do not know 	i  i know  negativefeedback
3820	may i ask u a private question 	i u a question  i ask question question
3821	yes 	yes    feedback
3822	do u have a consciousness 	u a consciousness  u have consciousness question
3823	he s an idiot	s idiot he s  negativefeedback
3824	you 	question
3825	yeah 	yeah    feedback
3826	looks like you are right	you are  inform
3827	like	turnmanagement
3828	wow i did not even think about that i wouldn not have thought about that i think i am going to be the same way but i am not sure how much that costs 	wow i i wouldn i i way but i costs  i think i thought i think i going i am much contradict
3829	can you borrow me a little money for some time 	a money time  you borrow money directive
3830	 i do not know i do not know if that is the case but i am pretty sure that s what its called 	i i case but i s what  i know i know that is i am that s its called what contradict
3831	but i need	but i i need  contradict
3832	 you can do it if you want to	you do you want it directive
3833	i do not know how	i i know  negativefeedback
3834	 but you can not trade 	but you trade  contradict
3835	something else 	something    question
3836	 not if you want to keep your head down 	head  you want head negativefeedback
3837	that is not interesting	that is  negativefeedback
3838	hi alex	hi alex   socialobligation
3839	you three have a good weekend 	a weekend  you have three have weekend socialobligation
3840	thanks	thanks   socialobligation
3841	now come on let is get out of here i am freezing and mr 	i and mr  i freezing  interactionstructuring
3842	it is quite cold here	it is  inform
3843	it is  wouldpose to be cold 	wouldpose  it is  commissive
3844	i suppose	i i suppose  feedback
3845	you can leave it there a beat does she really mean it 	a beat  you leave she mean it it question
3846	i do not know	i i know  negativefeedback
3847	i think it is totally weak 	i  i think it is  negativefeedback
3848	maybe	negativefeedback
3849	maybe maybe i do not want any maybe 	i  i want any negativefeedback
3850	what do you want 	what  you want what question
3851	were you asleep 	you were  question
3852	when 	question
3853	in a minute look it is hot sweetie you will burn your nose look out 	a minute  sweetie nose  it is you burn nose answer
3854	what 	what    question
3855	the radio is gone that means the car is gone 	radio car  that means  inform
3856	what car 	car    question
3857	i have an idea for that 	i idea  i have idea directive
3858	hi alex you still there	hi alex   you question
3859	so you have been told you have cancer well 	cancer well you have cancer inform
3860	no i do not think so	no i i think  negativefeedback
3861	you do not like it 	you like it negativefeedback
3862	of course not  	course     negativefeedback
3863	what i mean is do you really know what is going on in his head 	what i what head  i mean you know what going what clarify
3864	no	no   negativefeedback
3865	i told you a thousand times you should always keep uh 	i a times uh i told you keep  directive
3866	sorry but i forgot	sorry but i i forgot  contradict
3867	side kick drives away grierson turns to david 	kick drives grierson david  grierson turns  inform
3868	what  	what     question
3869	joey points	joey points   inform
3870	you are like crazy today	like today you are  inform
3871	dad this is not actually what he is like he took some drugs and	dad what drugs this is he is he took drugs inform
3872	helloooo	helloooo   socialobligation
3873	leave it	it directive
3874	you leave it can we just talk 	you leave we talk it question
3875	he persists 	he persists  inform
3876	who is he anyway 	who  he is  question
3877	well why are you asking this by the way 	well way  you asking this question
3878	hi alex	hi alex   socialobligation
3879	hi 	hi    socialobligation
3880	how are you doing today 	today  you doing  question
3881	i am killing myself 	i  i killing myself answer
3882	why 	question
3883	well i think 	well i i think  turnmanagement
3884	about what 	what    question
3885	yeah i heard about that 	yeah i  i heard  feedback
3886	what 	what    question
3887	i think you have a gray hair 	i a hair  i think you have hair answer
3888	you are right	you are  commissive
3889	it is like the days of the mad barber of fleet street is not it 	days barber fleet street  it is it is  question
3890	yes	yes   answer
