utterance	Sender	Addressee	communicativefunction
I found add contact	Older Adult		inform
Now click on that	Robot		instruct
Okay 	Older Adult		agreement
Type the name you want to save the number with	Robot		instruct
Done	Older Adult		inform
Okay, 	Robot		turnTake
then	Robot		turnKeep
type in the number you want to save	Robot		instruct
Okay 	Older Adult		agreement
here it is on my diary 	Older Adult		inform
and	Older Adult		turnKeep
I copy it to my phone now	Older Adult		promise
Great, 	Robot		agreement
could you find a save or done button somewhere	Robot		checkQuestion
Yes	Older Adult		answer
Click on that	Older Adult		instruct
Clicked	Older Adult		inform
You are done saving your contact now	Robot		inform
Wow 	Older Adult		stalling
that was some work, 	Older Adult		turnKeep
I will need some guidance to do it next times. 	Older Adult		request
Martha, its time for you to have your dinner	R		opening
I ate some crostini for supper and 	A		inform
dont feel like eating for the time being.	A		inform
Okay, 	R		agreement
but 	R		contradict
I would suggest you to still have something light.	R		suggest
Maybe after an hour	A		addressSuggest
Its getting late now 	R		inform
would you mind  preparing some dinner	R		request
Okay boss,  	A		acceptRequest
here I go.	A		turnKeep
Where is everybody? 	A		checkQuestion
Good morning Anna. You are early. 	R		greeting, opening
Everyone is still sleeping	R		inform
What time is it? 	A		question
It's 0540 in the morning. 	R		answer
The others will be here for breakfast in an hour.	R		inform
Do you want us to do something together? 	R		suggest
Or do you want to try to sleep? 	R		suggest
Can you show me what time it is? 	A		request
Ah. 	R		stalling
Do you want to lie down again? 	R		checkQuestion
Good morning. 	Robot		initial greeting
Do you want breakfast? 	Robot		Question, interactionStructuring
Yes. 	Older Adult		Answer
What do you want? 	Robot		Question
A sandwich. 	Older Adult		Answer
Sandwich with cheese or cream cheese?	Robot		choiceQuestion
Sandwich with only cream cheese on it. 	Older Adult		Answer
Ok, coming up.	Robot		agree, autopositive
Do you want to drink something? 	Robot		Question, interactionStructuring
Tea. 	Older Adult		Answer
We ran out of tea. 	Robot		inform
Do you want something else to drink?	Robot		Question
Vodka. 	Older Adult		Answer
That is funny anna. 	Robot		inform
You want a coffee? 	Robot		Question
Coffee is fine. 	Older Adult		Answer
Now it is time to get out of your pjs. 	Robot		instruct
Hmm.	Older Adult		stalling, autoPositive
I will put your clothes on the bed. 	Robot		inform, promise
Please get dressed. 	Robot		request, interactionStructuring
I do not want to wear this ugly t-shirt. 	Older Adult		declineRequest, inform
Why is that ugly? 	Robot		Question
I do not like it at all. 	Older Adult		Answer
I hate it. 	Older Adult		inform
Okay, 	Robot		agree
then we change the t-shirt. 	Robot		offer
How about this t-shirt. 	Robot		suggest
No, 	Older Adult		decline suggest
i want a white one. 	Older Adult		inform, instruct
A white t-shirt.	Robot		agreement, inform
We do not have white t-shirts. 	Robot		Disconfirm
We have to wash whites on the weekend. 	Robot		inform
I want this one. 	Older Adult		inform, instruct
Ok, 	Robot		Autopositive
that is a nice one. 	Robot		confirm
Here you are. 	Robot		inform
Please get dressed 	Robot		Request, opening
then we will brush teeth, do makeup, and hair. 	Robot		instruct, interactionStructuring
We are a little late. 	Robot		inform
Why do you not wake me earlier then? 	Older Adult		Question
I tried to wake you  	Robot		Answer
but	Robot		contradict
you snoozed. 	Robot		inform
Simply try harder tomorrow. 	Older Adult		suggest
Are you tired this morning? 	Robot		proposition question, turn assign
Yes	Older Adult		agree
I am	Older Adult		Answer
Maybe we should change our evening routine, 	Robot		suggest
so that you can get a longer nights sleep. 	Robot		inform
I do not want to talk about this now. 	Older Adult		declineSuggest
We are late. 	Older Adult		inform
Yes, 	Robot		agree
you are right. 	Robot		confirm
Let us get ready 	Robot		suggest
And 	Robot		turnKeep
we talk later	Robot		inform
So, 	Robot		stalling, interactionStructuring
now bathroom. 	Robot		inform
Ok. 	Older Adult		agree
Here is your toothbrush, toothpaste and water. 	Robot		instruct
Want help? 	Robot		Question
Nope. 	Older Adult		Answer
Ok. 	Robot		confirm, autopositive
The nurse is here to help you with makeup and hair. 	Robot		inform
Ok. 	Older Adult		agreement, autopositive
Anders and bella will be soon here. 	Robot		inform, opening
You want to say hi?	Robot		Question, interactionStructuring
Yes. 	Older Adult		confirm
I was waiting the whole day.	Older Adult		Answer
I know. 	Robot		agree
After you have talked to them, 	Robot		inform, interactionStructuring
we can go to the store. 	Robot		suggest
I was wondering if you could do groceries today? 	Older Adult		Question
I think it is better if you join me. 	Robot		Answer
Walking is good exercise for you. 	Robot		suggest
I am tired. 	Older Adult		inform
I just want to sit here. 	Older Adult		inform
Should i call the doctor 	Robot		Question
so you can tell her what your problem is? 	Robot		inform
I have no problem. 	Older Adult		Answer
I am tired, is all. 	Older Adult		inform
Ok,	Robot		agreement, turnKeep
I understand. 	Robot		inform
I think either we get you motivated and awake	Robot		suggest
or	Robot		turnKeep
we take a short stroll around the block instead of walking to the store.	Robot		suggest
do you not understand 	Older Adult		decline suggest
what i am saying? 	Older Adult		Question
I said i am tired 	Older Adult		inform
And 	Older Adult		turnKeep
i do not want to go anywhere! 	Older Adult		inform
You stupid machine! 	Older Adult		inform
I hate this! 	Older Adult		inform
Go away! 	Older Adult		instruct
Leave me alone! 	Older Adult		request
And 	Older Adult		turnKeep
you do not call the doctor! 	Older Adult		instruct
No matter what you are supposed to do! 	Older Adult		instruct
Hear me?	Older Adult		checkQuestion
Anna, 	Robot		interactionStructuring
you know that i am supposed to call the doctor when you get upset. 	Robot		inform
It is better if somebody checks on you right away. 	Robot		inform
Ok.	Older Adult		agreement, interactionStructuring
Ok. See?	Older Adult		agreement, turnKeep
I am calm	Older Adult		inform
Ok see?	Older Adult		checkQuestion, suggest
I can tell you are calmer, anna. 	Robot		answer, acceptSuggest
Ok. 	Older Adult		agreement
Are you looking forward to your guests? 	Robot		Question, opening
Yes. 	Older Adult		agreement
Bella is pregnant, 	Robot		inform, interactionStructuring
isn't she? 	Robot		proposition question
Yes 	Older Adult		agreement
she is	Older Adult		Answer
In a couple of months you will be grandmother. 	Robot		inform
In a couple of years we can go to the playground together. 	Robot		inform
Yes.	Older Adult		agreement
I think  	Robot		stalling, turnKeep
they are here.	Robot		inform
Anna, 	Robot		Opening
do you feel better now? 	Robot		Check question, interactionStructuring
What? 	Older Adult		Question
You were so tired.	Robot		Answer
I will be fine. 	Older Adult		inform
Do you feel like going to the store?  	Robot		Question
It takes so long. 	Older Adult		Answer
Ok, 	Robot		agreement
then i suggest we take a stroll around the block. 	Robot		suggest
Ok. 	Older Adult		accept suggest
The weather is sunny. 	Robot		inform, turnTake
It will be nice.	Robot		inform
Let us enjoy that. 	Older Adult		inform, offer
Winter is coming soon enough. 	Older Adult		inform, turnKeep
Let us do a puzzle. 	Older Adult		offer, interactionStructuring
Okay.	Robot		acceptOffer, Answer
Which one?	Robot		set question
The one with the mountain and the lake. 	Older Adult		Answer
Okay 	Robot		agreement, autopositive
that is a nice one. 	Robot		inform, turnKeep
You like a good challenge. 	Robot		inform, turnKeep
Yes, 	Older Adult		agreement
put the blue pieces here,	Older Adult		instruct
the greyish ones over here  	Older Adult		instruct
to start with	Older Adult		turnKeep, interactionStructuring
Ok. 	Robot		agreement, autopositive
Now 	Older Adult		turnTake
first the corners. 	Older Adult		instruct
Ah, 	Older Adult		stalling, turnKeep
here is one. 	Older Adult		inform
Help me here. 	Older Adult		request, instruct
Here is another one. 	Robot		acceptRequest, inform
Good. 	Older Adult		Allopositive
And 	Older Adult		turnKeep
here are the other ones. 	Older Adult		inform
Give me all pieces with even sides. 	Older Adult		instruct
Blue or grey? 	Robot		choice question
Blue. 	Older Adult		Answer
Here you go. 	Robot		inform
Good morning  	Robot		initial greeting
this is your appointment scheduling system.	Robot		initial self introduction, opening
Who would you like to see the occupational therapist or the physiotherapist ? 	Robot		choice question, interactionStructuring
I want to see the occupational therapist.	Older Adult		Answer
You would like to see the occupational therapist. 	Robot		inform
Is that correct ? 	Robot		Check question, feedback elicitation
Yes please	Older Adult		agreement, allopositive
On which day would you like to come monday morning or monday afternoon? 	Robot		choice question
I would prefer on monday morning please.	Older Adult		Answer
You would like to make an appointment on monday morning. 	Robot		inform
Is that correct? 	Robot		Check question, feedback elicitation
Yes please	Older Adult		Answer
At what time would you like to make an appointment nine thirty a.m or eleven a.m? 	Robot		choice question
I would like to meet the occupational therapist at eleven a.m.	Older Adult		Answer
You would like an appointment at nine thirty a.m. 	Robot		inform
Is that correct? 	Robot		Check question, feedback elicitation
Yes  	Older Adult		agreement
its absolutely correct.	Older Adult		Answer, allopositive
Could you repeat it once for me?	Older Adult		Question
I have now booked for you an appointment with the occupational therapist on monday at nine thirty in the morning at the community treatment centre. 	Robot		inform
Is that correct? 	Robot		Check question, feedback elicitation
Yes	Older Adult		agree
 its correct.	Older Adult		Answer, allopositive
Thank you very much 	Robot		initial thanking
for using the appointment scheduling system. 	Robot		inform
Goodbye 	Robot		initial goodbye
Thankyou.	Older Adult		acceptThanking, thanking
Good morning.	Robot		initial greeting
This is your appointment scheduling system. 	Robot		initial self introduction, opening
Would you like to see the occupational therapist the community nurse the physiotherapist or the diabetes nurse? 	Robot		choice question, interactionStructuring
Good morning	Older Adult		return greeting
Uh.	Older Adult		stalling
Diabetes nurse please	Older Adult		Answer
You wish to see the diabetes nurse 	Robot		inform
is that correct?	Robot		Check question, feedback elicitation
Yes	Older Adult		agreement, allopositive
When would you like to come tuesday afternoon wednesday morning thursday morning or thursday afternoon? 	Robot		choice question
Thursday afternoon would be fine 	Older Adult		Answer
but	Older Adult		contradict
it needs to be after two o clock please.	Older Adult		request
You would like to make an appointment on thursday afternnon at three? 	Robot		Check question
Three pm would be grand.	Older Adult		Answer
You would like to book an appointment on thursday afternnon at three pm 	Robot		inform
Is that correct ? 	Robot		Check question, feedback elicitation
Three pm thursday diabetes nurse at the hospital thats grand.	Older Adult		Answer, allopositive
I have now booked for you an appointment with the diabetes nurse on thursday at three pm at the hospital 	Robot		inform, autopositive
Is that correct ? 	Robot		Check question, feedback elicitation
Thats grand 	Older Adult		agree, allopositive
thankyou.	Older Adult		initial thanking
Thank you very much 	Robot		acceptThanking, thanking
for using the appointment scheduling system 	Robot		inform
goodbye.	Robot		initial goodbye
Welcome goodbye.	Older Adult		return goodbye
Hello mom	Human		initial greeting
I wanted to go and get my hairs done.	Human		inform, opening
What is the problem with them?	Older Adult		Question, interactionStructuring
They have grown too long	Human		Answer
I do not agree	Older Adult		disagree
Why?	Human		Question
They look beautiful on you	Older Adult		inform
I am just tired of them	Human		inform
Okay 	Older Adult		turnTake, autopositive
now you are changing the reasons	Older Adult		suggest
What do you mean?	Human		Question
I do not think 	Older Adult		disagree
you should cut your hairs	Older Adult		Answer
I am sorry 	Human		apology
cant manage them anymore	Human		inform
Okay 	Older Adult		agree, autopositive
then do it	Older Adult		suggest
Okay 	Human		accept suggest
thanks mom.	Human		thanking
Sara would you like to go out for dinner tonight.	Robot		Question, interactionStructuring
Yes, 	Older Adult		agree
i have heard there is a new restaurant with inexpensive food.	Older Adult		Answer
Well, 	Robot		turnTake, interactionStructuring
there must be reason for that i am sure, 	Robot		inform
possibly its not good.	Robot		inform
No 	Older Adult		decline 
I do not agree 	Older Adult		disagree
maybe they have limited menu.	Older Adult		inform
Okay 	Robot		agreement, autopositive
lets check on their website	Robot		suggest
You see here 	Robot		inform
the comments of people, 	Robot		inform
bad service and low quality.	Robot		inform
Ahh 	Older Adult		stalling
i do not trust these reviews.	Older Adult		disagree
Sara lets just skip this	Robot		suggest
And 	Robot		turnKeep
go somewhere we know that we wont regret	Robot		suggest
But until we do not try 	Older Adult		contradict
how we will know if its bad	Older Adult		suggest
Can we try it another time 	Robot		decline suggest
today i do not want to experiment 	Robot		inform
if its okay with you	Robot		inform
Umm	Older Adult		stalling
Okay 	Older Adult		agreement, autopositive
lets check this new one out later	Older Adult		suggest
Today we go somewhere else. 	Older Adult		suggest
These are beautiful denims 	Older Adult		inform
what do you think?	Older Adult		Question
Yeah, 	Robot		agreement
they look nice  	Robot		Answer
But 	Robot		contradict
I have heard they are poorly made.	Robot		inform
I do not agree with that 	Older Adult		disagree
the touch and feel is also nice.	Older Adult		inform
Yeah 	Robot		agree
but	Robot		contradict
you see here at the bottom the threads all loose 	Robot		suggest, inform
Hmm 	Older Adult		stalling
there you are right.	Older Adult		accept suggest
but	Older Adult		contradict
I am sure it can be fixed	Older Adult		suggest
Or 	Older Adult		turnKeep
we can ask if they have more of them. 	Older Adult		offer
How do we escape from this merry go round.			question
There is no escape.			answer
In the 18th and 19th century technology and industrial revolution was for the people. 			inform
You should also think about this, 			inform
that 			turnKeep
when industrial revolution came, 			Autopositive
they also lost jobs. 			inform
Huge huge number of people.			inform
yes yes, 			agree
it definitely was something			agree
But also 			contradict
when 			stalling
there was that rise of the machine, 			inform
also then humans had to 			inform
retreat exactly from those jobs			inform
Humanity had to retreat 			inform
because 			turnKeep
that part of the landscape is being taken away			inform
and 			stalling
the machines are taking more and more of this landscape			inform
First the physical world with all the cars, 			inform
then they dominate the physical world 			
and 			stalling
then they will start doing the intellectual work			
Because once they take the physical world, 			
what will remain then is the intellectual world. 			
Of course it it is a. 			
Its a matter of few years 			
that 			stalling
you launch an algorithm 			suggest
and 			stalling
they prove any kind of theorem			
Then what remains. 			question
When they can			inform
basically they can do anything and everything. 			inform
 Yeah. 			agree
But then what we will do.			contradict
 Then we can 			answer
do either go on vacation. 			answer
But then they will also go on vacation, 			contradict
because once they find out 			inform
that 			stalling, turnKeep
its better to spend some quality time 			inform
then if they have a choice 			suggest
they will do it.			confirm
But what for, 			contradict
we need vacation to rejuvenate ourselves 			contradict
from the exhaustion and stress 			inform
we have had from work, 			inform
what will they, 			misspeaking
what will be their objective to go on vacation. 			correct misspeaking, question
but they will never have any kind of tiredness or stress.			contradict
For the quality of the time.			answer
If they find that its higher quality 			suggest
they will just do it. 			confirm
Why will they go 			question
and 			stalling, turnKeep
work in the factory 			inform
or 			turnKeep
in an office. 			inform
Such that 			turnTake
they can get rewarded. 			suggest
 yes			accept
 Yeah, 			agree, turnKeep
It started also with us, 			inform
we also used to get rewarded 			inform
yeah whatever, 			agree, turnKeep
food and rations, 			inform
and that keeps us in the loop of working and producing. 			suggest
work and produce			inform
 Society still works that way. 			suggest
And that is good.			confirm
The problem is 			suggest
when 			turnKeep
these machines will land 			inform
in the intellectual world, 			inform
and then 			turnKeep
But I think 			contradict
it will still take some time.			inform
yes 			agree
they will land in the intellectual world.			inform
When they will start shaping 			suggest
how we think and 			inform
how we live our personal lives, 			inform
then			turnKeep
 Then 			turnKeep
we will be just slaves.			inform
 Then 			turnKeep
yes 			agree
that is the risk.			inform
 Why dont you never see good intentions, 			question
like why dont you see, 			turnKeep, selferror
like why you always see a dystopian society. 			question
  I dont know 			answer
I might be quite biased towards dystopian, 			suggest
may be I like too much the movie matrix too much. 			inform
Yes I tend to see more negative aspects than the positive. 			answer
 Yeah I think it steals people’s job. 			agree, suggest
it does not steals job			retract
it ends, 			inform
it just snatches, peoples jobs. 			inform
 Its not stealing, 			disconfirm
stealing is like doing something while hiding while not coming in the front.			inform
 Ofcourse they don steal, 			confirm
its the people who assign them these jobs.			inform
 Yeah.			agree
 Yeah, 			agree
Thats why they are developing ethics 			suggest
and 			stalling, turnKeep
bringing all these regulations, 			inform
we are always, always , 			turnKeep, selferror
because humans will exagerate,			inform
and 			turnKeep
may be we will exagerate 			suggest
and 			turnKeep
just become puppets in the hands of machines. 			inform
 In the hands of AI. 			inform
There will be a day when machines will be more free than us. 			inform
Where they can be more free in doing whatever they do.			inform
 And well be like machines.			suggest
 And it will be the inverse, 			suggest
slaves of the machines			suggest
They will put us to work 			suggest
to have a productive society 			suggest
and a constant development			inform
 I dont know, 			disconfirm
I am not against machines, 			decline suggest
I am not against robots or AI, 			decline suggest
I am not against innovation and technology. 			decline suggest
But I agree with you at some points 			contradict
when 			stalling
I see people just losing jobs.			inform
 May be its also that we are so much aware about everything 			suggest
in our surrounding and also outside our surrounding around the world we get so much information 			suggest
that we stress so much			suggest
If we do not have such media which communicates all the information. 			suggest
May be we will be more happier. 			suggest
Yeah let machines steal the jobs 			accept suggest
we will find another set of jobs			inform
Like humans we have always survived our destruction, 			inform
we create destruction 			inform
but somehow we always survive it also, 			contradict
and build on top of it, 			inform
we never we do not scumb to it. 			correct misspeaking
That will be our step to 			suggest
I dont know 			disagree
we dont have to be super worried 			inform
there will be a set of people 			inform
who will be controlling the world 			inform
whether through machines or 			inform
whether through humans 			inform
so I think we will always be on the top may 			inform
may be just selected few people, 			suggest
few people will be on the top and 			inform
they will be controlling the machines and humans, 			inform
but the scenario is not very different, 			contradict
these social media and google they control us, 			inform
in lot of ways, 			turnKeep
and 			stalling
they are using AI 			inform
to just destroy the social structure, 			inform
destroy our communication, 			inform
to increase the stress, 			inform, turnKeep
to track us down at all levels, 			inform
to have every kind of thing from us.			inform
 Yes			confirm
 and 			turnKeep
I dont see that			inform
 and 			turnKeep
that is already happening.			inform
 I dont think anything new is going to happen, 			contradict
we were controlled by the monarchs earlier, 			address suggest, inform
then the political governments, 			inform
now its these companies and 			inform
then well 			turnKeep
then why not they are using AI already to control us			correct misspeaking
Its happening right now ever where			inform
 Yes			confirm
yes. 			turnTake, agree
 And the blow that they strike on zukenberg 			inform
its nothing in compared to the power these multinationals have, 			inform
the power in making us very predictable, 			inform
whatever you search google knows 			inform
that whatever 			turnKeep
comes first is what you are going to go with.			inform
 yes and they are showing us 			suggest
what they want us to see. 			suggest
We do not have any freedom.			suggest
 what they want to show us is 			inform
what people decided to see, 			suggest
and the loop gets reinforced, 			inform
so the people will continue to see the same things. 			inform
Because they decide that . 			confirm
like  			turnKeep
its simple you search for something how this thing works  			inform
how does that work. 			question
And so on. 			turnKeep
And a solution comes up, 			inform
then if that solution gets successful 			inform
then the loop gets reinforced.			confirm
 I get what you are saying there, 			Autopositive
I see the problem there,  			confirm
what you are trying to say, 			confirm
I understand you very well			confirm
you are right that then we are not seeing anything new, 			agree
we are just seeing all the things that other people have already seen,  			inform
yeah and its all reinforced, 			agree, turnKeep
and we are becoming more and more predictable, 			inform
we are becoming more and more traceable, 			inform, turnKeep
more and more similar.			turnKeep
 this is  why at a certain point 			suggest
if nothing changes 			suggest
I say 			turnKeep
then there will be a reversion, 			confirm
between humans and machines, 			inform
where machines will be free to do whatever they want, 			inform
and these machines they will be standing on humans, 			inform
and they will be controlling us.			inform
 I dont think so, 			contradict
there will be several humans controlling these machines 			disconfirm
and these machines will control the whole of humanity, 			inform
I think there will always we a human . on the loop.			disconfirm
 it will be humans vs machines.			inform
 May be I am biased 			suggest
but 			turnKeep
I dont see us dooming anytime soon.			contradict
 10 10 years and the robots they will start going to the universities			inform
and 			turnKeep
doing research, 			inform
ten years			turnKeep
or supporting consistently, 			inform
I think it will be contained at some point, 			suggest
I dont think its going to be used in that sense 			contradict
and I hope so they dont.			inform
Well we had a nice conversation about that.			inform
How you felt, 			question
did you had difficulties or you did not.			proposition question
you did not had difficulties, 			proposition question
whether and people and and how the mental turmoil was going though.			check question
I can tell you mine one.			Promise, answer
and i can also tell you what others think about that			answer
For me 			information structuring
aaa. 			stalling
I dont think so much about the things. 			contradict
I believe that if something comes then 			confirm
i have to make myself competitive, 			inform
such that I can cope up with any kind of situation. 			suggest
Some people think a lot of things. 			suggest
Just like I had a friend he is now a professor in IIT roulkela. 			inform
He got a Phd in Japan, 			inform
some Tusukuba University. 			inform
He thought so much, 			inform
so many things, 			turnKeep
when I will go 			question
what is my scholarship,			question
 Yes			confirm
 and 			stalling
and what will be the house expense, 			question
and so many other things.			inform
 Hmmm, hmm			Autopositive
 Yeah			confirm
 After that he exaggerated so many things 			inform
that he actually did not go there.			inform
 Oh really 			turnTake
 Yes			confirm, autopositive
 Oh my god. 			turnTake
 My intention was 			inform
is to do a post doc, 			inform
when I was in the industry 			inform
I was getting the opportunity for the onsite.			inform, interactionStructuring
Yes			Allopositive
I will travel to US there was a client.			inform
Yeah yes			agree, autopositive
Even at that time I did not think so much.			confirm
Yeah, so. I was ready for that.			Allopositive, inform
I dint think			inform
they start like over thinking 			inform
and they kill all the excitement			confirm
Yeah, 			agree
some people think too much 			turnKeep, inform
and 			stalling
then they kill all the excitement. 			suggest
yes 			agree, turnTake
i think so			suggest
They start over thinking 			inform
and 			turnKeep
kill all the excitement			inform
 Something means, 			turnTake
Uncertainty is 			interactionStructuring
I think its a nature and that is a life.			inform
Yeah			agree
If everything you can predict, 			inform
everything you can plan then 			inform
you do not have any spikes 			suggest
and 			turnKeep
you do not have spikes in life and its like.			suggest
It becomes boring 			address suggest, inform
I think.			turnKeep
Yes yes 			accept
that the thing it becomes boring, 			suggest
and everything is scripted then 			inform
there and things are going on. 			
but I also feel 			contradict
that if you plan too much, 			address suggest
things do not work out well, 			address suggest
like your plans fail 			address suggest
because life does not goes according to your plans.			address suggest
 Of course of course			agree
 and then you get frustrated, 			inform
angry, 			inform
and with this 			confirm
i feel 			turnKeep, interactionStructuring
the controlling nature of people 			inform
it it exhibits a lot. 			inform
and then if we are controlling and things 			suggest
dont go according to us 			inform
them you go mad.			inform
 yes, 			agree
I think you are relating expectation to each and everything, 			address suggest
you have a plan and you have a expectation 			address suggest
that 			stalling
that will work out as per your expectation. 			address suggest
but that doesnt			contradict
 it may. 			offer
yeah			accept
 and and 			stalling, turnKeep
if you plan too much 			suggest
then you control			suggest
 you you try to control			suggest
 then i feel that 			inform
then if you get disappointed 			address suggest
it hurts a lot. 			address suggest
but if you dont plan so much then 			contradict
you dont get hurt. 			decline suggest
Like If things dont go according to your plan			offer
then will its okay 			question
its fine, 			accept
the flexibility is necessary.			suggest
 The flexibility 			accept suggest
and also 			stalling, turnKeep
you need to think 			turnKeep
that what are the things required to do that.			address suggest
Just like before coming to any country for education,			offer
 hmm			turnTake
 there are somethings that you can look before coming there 			offer
such as currency of that country, 			offer
that you ha to take it at the right time, 			offer
you can see the pattern of the exchange 			offer
then you can take the right decisions, 			suggest
then if you are coming so for a temp location 			suggest
you need to 			Selferror
have to see for a place that you need to accommodate your self.			offer
 yeah hmm			accept offer, turntake
 So so,			stalling, turntake
for me everything I relate to research, 			interactionStructuring
everything is just like 			turnKeep
you have a problem definition 			suggest
and these are the possible solutions.			address suggest
 yeah. 			agree
 So 			turnTake
I used to write everything in terms of that. 			address suggest
Before coming here this is my professor, 			inform
okay these are the things i have to ask him, 			instruct
like how much is my scholarship,			question
where i can stay,			question
what is the period of that, 			question
what are the future possibilities, 			question
these are the some of the things 			suggest
that 			turnKeep
you need before making a decision			inform
but the moment you have made you decision			contradict
then you go and meet with that.			instruct
 hmm			turnTake
 hmm			turnTake
 yeah 			turnTake
I agree with that			agree
 The other thing is also that 			inform
the more you 			opening
you will meet different variety of people, 			inform, information structuring
the more you will feel liberal 			inform
or 			turnKeep
the other hand conservative also. 			inform
So it depends on 			information structuring
what are the things you are expecting, 			question
One thing which was uncertain 			inform
which i did not figure out or did any research on was how the people would be. 			inform, information structuring
when i came here I felt 			inform
i l realized 			Selfcorrection
people are really nice 			suggest
really beautiful people, 			suggest
i can say that in my experience 			inform
they are the best people whoever I have met so far.			promise
 yeah 			agree
they are very good at heart 			accept suggest
most of the people. 			address suggest
 and one thing 			turnTake
i feel very nice about everyday, 			information structuring
whenever i come from home to college and 			suggest
whenever i see any person 			inform
and 			turnKeep
we have eye contact and 			inform
so i			turnKeep
i by habitually 			turnKeep
i used to say hey, 			inform
and it fun that they used to say me hey . 			inform
respond			Selferror
yeah. 			confirm
they respond			correct misspeaking
 yes 			agree
they respond			confirm
 but 			contradict
in India its like			information structuring
 its horrible. 			inform
if you say hey, 			suggest
oh you know me 			address suggest
you dont know me, 			address suggest
then why do you say hey.			address suggest
 they suspect you 			turn grab, accept suggest
as if you are going to kill them.			accept suggest
 If you say hey 			turnTake, information structuring
to a beautiful girl 			inform
then that means you are following her or something.			suggest
 yes 			accept suggest
we do not have such social norms. 			address suggest
That was my first impression of the people 			inform
in the western countries, 			turnKeep
in the malls, 			turnKeep
on the streets, 			turnKeep
people greet each other. 			inform
And 			turnKeep
as we go more and more towards these socially rich countries, 			inform
more people are open in social spheres			suggest
they while walking on the road for example 			address suggest
I really like it, 			inform
it felt like home, 			inform
it felt like I belong here.			inform
 yes , yes			agree
 I never felt any difficulties here, 			information structuring
its not that I am missing my place 			suggest
and 			turnKeep
not interacting with the environment. 			inform
And they all are nice			suggest
 What do you suggest 			suggest
that we should learn from these people.			question
 The first thing is that 			answer
what I felt 			turnKeep
in Indian is we are losing the humanity there. 			address suggest
We are going greedy day by day, 			inform
the environment the nature, 			inform
we are not bothering about that.  			inform
 hmm , hmm, yeah			turnTake, agree
 the first thing is humanity that we are loosing, 			suggest
we are saying we have a heritage culture.			suggest
 But that is in the past.			contradict
 Yes, yes			agree
 What I think is 			turnKeep 
that we are becoming a hybrid generation, 			address suggest
of half Indian and half US. 			address suggest
We are just blindly following the US.			inform
 If your one leg is somewhere and other leg somewhere, 			inform
then 			turnKeep
 you can not be balanced.			suggest
 There is always conflict between , 			turnKeep
at least with all the people in my generation, 			information structuring
whether to go traditional way Indian way, 			question
or whether to adapt or just to take up other culture, 			question
but in the TVs we see only exaggerated culture of the west. 			contradict
 They are not divorcing, they are so friendly.			suggest
 Of course, of course, 			accept suggest
they respect the other people freedom, 			address suggest
they respect other genders, 			accept suggest
they don’t discriminate against each other. 			accept suggest
They don’t control people, 			accept suggest
if two people are living with each other, 			inform
if they are having conflict, 			inform
its good they will breakup and have a better life. 			inform
 They dont discriminate, 			turnKeep
they dont control people.			inform
 Its not definite 			turnKeep
that this is the person. 			inform
Here you get more freedom to choose, 			turnTake
and be with the person who you like 			inform
in India its like once you go and get that person you are doomed, 			turnKeep, inform
because your family gets attached and its very very constraining, 			inform
I think we can change few things in those aspects.  			suggest
 Yes yes, 			agree
many of the things once 			address suggest
I came here being in India I was thinking that these are the things that we should do, 			address suggest
something that we need to change, 			address suggest
that was the perception when I was in India. 			address suggest
Now when I came here I realized that there are many things that we have to change.			information structuring
 Yes			turnTake, agree
 the root cause is parenting, 			turnTake, information structuring
everything comes from there. 			inform
Rather than making targets for our children, 			suggest
these are the things that you have to do you have to obey your parents, 			inform
these are the rituals you have to perform, 			inform
No matter what			turnKeep
you have to get good marks. 			inform
 And they never gave any reason for anything, 			inform
we have to just do it well why.			inform
So I think we should start having dialogue with our children, 			suggest
explain the things what is good what is bad, 			suggest
rather than saying that this is the thing that you should do. 			inform
yes			agree
attach explanation with everything 			address suggest
such that he will understand that what is injurious, 			address suggest
just do the explanation.			address suggest
Instead of punishing them, 			turnTake
just let them know about its problems, 			address suggest
and then let them choose, 			address suggest
because its their life.  			address suggest
 yes, of course, 			agree, turnTake
at the end it is their life, 			inform
and your focus should be to make them capable of taking their decisions, 			inform
train them to take the wise decisions, 			suggest
so there are many things that we can fix, 			inform
in the parenting 			inform
and 			turnKeep
see that rest of the society will change everything. 			suggest
 yeas.			agree
 why its always the responsibility of the girls and women to take care  			interactionStructuring
 of the family.			turnKeep
 of the brothers, 			inform
family, house , 			inform
why she will do the cleaning and the 			instruct
boy will do the outside work, 			instruct
you are making distinctions, 			inform
you are bringing discrimination at a very initial stage 			inform
and then 			turnKeep, stalling
complaining that society is transforming where no body is respecting women. 			inform
 yeah			agree
 if fathers dont respect mothers, 			inform
and 			turnKeep
if brothers dont respect sisters, 			inform
they wont respect the women when they go outside			inform
 yeah yeah			agree
 it will never happen 			suggest
that 			turnKeep
when they go into the society they will respect other women			suggest
 other women 			turnKeep
and women respecting other men.			turn grab
 if the mother is not telling her boy to behave properly, 			suggest
the boy will never behave properly			address suggest
 even I think the same 			accept suggest
that 			turnKeep
most of the Indian men have developed the mentality that women are objects.			information structuring
 and that is really really frustrating			suggest
 its pathetic for us to see			turnTake, inform
 its dangerous, 			turnKeep
if see, 			stalling
as soon you grow in your position and designation in the society there comes lot of responsibility, 			inform
